#{"t_start": 1706610538.8116398, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.0,360,0.713605
0.0,360,1.037884
0.0,360,1.396203
0.0,360,1.721381
0.0,360,2.053683
0.0,360,4.731603
0.0,360,5.067003
0.0,360,5.397769
0.0,360,5.729959
0.0,360,6.06063
0.0,360,6.394859
0.0,360,9.082397
0.0,360,9.408961
0.0,360,9.746657
0.0,360,10.076974
0.0,360,10.406343
0.0,360,10.743533
0.0,360,14.251491
0.0,360,14.596048
0.0,360,14.94155
0.0,360,15.273368
0.0,360,15.615093
0.0,360,19.487611
0.0,360,19.97978
0.3575,257,20.330262
0.0,360,20.837677
0.0,360,21.304584
0.0,360,21.798368
0.0,360,25.84831
0.0,360,26.173651
0.0,360,26.513107
0.0,360,26.846188
0.0,360,27.187099
0.0,360,27.566206
0.0,360,31.382562
0.0,360,31.711641
0.0,360,32.05578
0.0,360,32.439609
0.0,360,32.952577
0.0,360,33.470564
0.1175,353,37.97697
0.0,360,38.490363
0.0,360,38.926191
0.425,230,39.150579
0.0,360,39.504435
0.0,360,39.883078
0.0,360,43.836353
0.0,360,44.212125
0.16,336,44.638938
0.0,360,45.09864
0.0,360,45.647065
0.265,294,46.087139
0.0,360,50.687881
0.0,360,51.155509
0.325,270,51.511459
0.0,360,51.957435
0.0,360,52.39221
0.44,224,52.68664
0.0,360,57.352974
0.0,360,57.827085
0.0,360,58.275404
0.0,360,58.729551
0.0,360,59.260593
0.0,360,59.791539
0.4375,225,64.223881
0.68,128,64.370586
0.0,360,64.846997
0.0,360,65.327779
0.0,360,65.820301
0.0,360,66.313256
0.0,360,70.262098
0.0,360,70.584696
0.765,94,70.675657
0.0,360,70.993645
0.0,360,71.323495
0.0,360,71.664879
0.0,360,71.987087
0.0,360,75.698077
0.0,360,76.024913
0.0,360,76.348071
0.7075,117,76.453711
0.0,360,76.79019
0.0,360,77.119156
0.0,360,80.686097
0.0,360,81.016421
0.0,360,81.341621
0.0,360,81.667701
0.0,360,81.994372
0.0,360,82.316724
0.0,360,85.861445
0.0,360,86.190817
